text,label
and i doubt i will ever go back !,0
sushi was dry .,0
"that said , the food was sorely lacking .",0
all the drinks are amazing .,1
"the place is small , but man the food is amazing !",1
always smells amazing when i come here .,1
but eat it fast .,1
this place toms bbq rocks and i bought the tee shirt too !,1
it is delish and the prices are moderate to high .,1
highly recommended !,1
pizza is truly one of the best in the city .,1
i looked in bag but nothing burning .,0
excellent !,1
this company took care of my system fast and with very professional service .,1
super clean .,1
she 's so upbeat and has the best customer service skills .,1
tip : the poke salad is amazing !,1
jason did my tattoos and did an amazing job .,1
what a wonderful experience !,1
this place is a hidden gem .,1
my teeth feel great .,1
the food was excellent too .,1
"the bar must be great , because that side was pretty full .",1
he was rude and told that there was nothing wrong with my tires .,0
promise you 'll like it .,1
"hands down , the best bagel shop in the valley .",1
burger cooked wrong and it took _num_ minutes to get it replaced .,0
it was prepared well and was delicious .,1
the pork ball sandwich is also tasty .,1
i ca n't believe this place is still in business .,0
the truth !,1
my mom ordered the fillet medallions with bleu cheese and wild mushroom topping .,0
"i did try them , neither worked for me .",0
the service is wonderful .,1
low budget food at high budget prices .,0
i would recommend this place to anyone !,1
found my new after hike stop !,1
"my boyfriend had the buffalo chicken sandwich , which he loved .",0
"to make things worse , they speak in vietnamese about salon clients .",0
they are really good about following up with you .,1
chips were greasy and rubbery ?,0
as i 'm writing i 'm tasting the guacamole .,0
love this place .,1
awesome is all i can say .,1
amazing staff !,1
i could tell our server had a cold .,0
excellent authentic mexican food .,1
this place is horrible .,0
"great food quick and easy , and easy on the wallet .",1
we were really impressed and happy at this place .,1
will not go back again unless calling ahead .,0
staff was very friendly and attentive .,1
it over-priced & you really do n't get a whole lot of food !,0
i am very busy ! '',0
i love this place !,1
"this is a fun place to take kids , too .",1
"all he could say was `` sorry , have a good night '' .",0
i was pissed ... how dare they jack up my craving ?,0
"queens is a good , small , school .",1
they do a great job caring for our pecan tree .,1
very refreshing !,1
"thanks yelp , for leading us to another great find !",1
the glasses case `` fell behind our storage bin . '',0
i did n't enjoy the food .,0
six customers in the place .,0
i looked on yelp and saw all the negative reviews .,0
the margaritas which macayos calls `` the best in phoenix '' are not .,0
the food was very impressive .,1
and the food is very low quality in all the korean restaurant .,0
"nothing bad , but nothing really outstanding either .",1
they really care about their customers .,1
the atmosphere is happy and they also provide drinks !,1
comfort food at its finest !,1
what the hell ?,0
fresh and affordable groceries with real ingredients .,1
too bad because it could be fun ... i guess they hate making money .,0
it 's not overcrowded and the employees and clientele are very cool .,1
"arizona , you did keep us going !",1
"now , i understand mexican food is not vegetarian friendly .",0
i had such a great experience .,1
guy really knows his beer .,1
so that you may now how far they have fallen .,0
"however , seeing as that is not the case , it gets one .",0
thanks guys for making my experience so great for over _num_ years !,1
one thing to note is that the sweet rolls are out of this world .,1
the service is very consistent between the _num_ restaurants i visit .,1
really impressed with the level of service and would recommend to anyone .,1
this place is not authentic and it is simply over priced .,0
"horrible , horrible !",0
"definitely recommend their teriyaki chicken , it 's my favorite thing on the menu .",1
so they are terribly overworked .,0
the food is great and the staff is very attentive .,1
i recommend going at night because the night view of pittsburgh is priceless .,1
garlic cheese knots and fresh mozzarella were amazing !,1
i am always the one to run down and get the food .,0
my drivers license expired _num_ days ago .,0
"_num_ , c'mon .",0
"the pizza , wings and caesar salad were delicious !",1
love this place .,1
the skinny fries were good .,0
the store was empty by the way .,0
"the food , service , and wine menu are great .",1
_num_ .,0
really nice touch .,1
i called to complain and they hung up on me .,0
this place is only interested in taking your money !,0
im glad they are always improving this place !,1
food is good - pretty much on par with other similarly priced mexican restaurants .,1
she squeezed out an apology .,0
thee best !,1
quiet location with great fresh food .,1
i 'm sorry .,0
keep it local !,1
gave away our room !,0
horrible just horrible _num_ star because it does n't let me leave _num_ .,0
great food .,1
"needless to say , we have passed on staying here since this trip .",0
everyone who has worked on it says same thing .,0
as it finished i drove there to pick it up .,0
and the best part is that they pick up and deliver !,1
"but he also had a sirloin , and did not like it much either .",0
the wait was n't what bothered me .,0
it 's a lot bigger on the inside than it looks from the outside .,1
great price on a dozen donuts and they are amazingly fresh !,1
"the wine recommendations were excellent , and the food was great .",1
there was no root canal needed .,0
customer service is terrible also !,0
"every time i visit this starbucks , it is completely slammed .",0
my first time trying mediterranean and i loved it !,1
atmosphere is half the rent .,0
the people who work there are very nice and remember our orders .,1
wonderful !,1
soooooooo much better !,1
"you 'll thank me later , it 's superb .",1
"the exhibits are interactive , educational , fun and informative .",1
thank you for your help nick !,1
"the seafood is incredible , service is good and the decor is - colorful !",1
they also failed to include the ranch dressing ( s ! ),0
and that has never happened before .,0
i am a fan !,1
i am not returning .,0
i could have gone have lunch at benihana for a dollar more .,0
they have done a ton of work over the years on my home .,1
i love this place .,1
always clean .,1
"delicious , but not what i went in for .",1
this is some of the best mexican food i 've ever had .,1
"it was not pretentious or stuffy , it was nice and comfortable .",1
excellent place to unwind in hectic downtown !,1
always helpful and superior service !,1
she loves it ... .,1
one of my new favorite mexican restaurants .,1
loved vegas but hated the limo drivers !,0
this is the best safeway i have been to .,1
hell no !,0
it was way too salty !,0
delicious breakfast and really quick .,1
this place was horrible !,0
i added three packs of soy sauce to make it taste like something .,0
if you like some heat this gives it to you .,1
customer service is not even located in this country .,0
"also , the cinnamon roll was delightful .",1
great museum .,1
i love einstein bagels !,1
i must say i was completely most utterly disgusted .,0
i went straight from the restaurant to the house .,0
these are the best gyros in town .,1
plus they have a great deal on covering your tires .,1
after a long summer in flip flops i really needed this service done .,0
the concept was nice but this place really did n't live up to expectations .,0
i love coming here for happy hour when i 'm in town .,1
"a hotdog , small fry and drink was over $ _num_ .",0
"they 're always patient with me , funny , and accommodating .",1
this is one of my favorite italian restaurants !,1
i also love the cajun chicken & shrimp pasta very very good .,1
chicken and bread was cold when i got it .,0
"we got pizza , and it was super yummy .",1
"great haircuts , coloring and basically an awesome place for your hair !",1
the service was absolutely horrible .,0
i absolutely love coming to this market .,1
"- kitschy decor ( yes , it has decor ! )",1
he did agree to take $ _num_ off our total bill .,0
amazing salon with wonderful girls working behind the counter !,1
not a lot of ambiance .,0
easy to navigate and lots of shops .,1
worst chinese buffett i have ever had !,0
my daughter is fine but my bank account is not .,0
the customer service here is amazing !,1
second visit : very disappointed !,0
"if you 're a meat lover , the extreme fuel pizza is the best .",1
the entree was a dry .,0
very nice business .,1
i always ask for medium rare .,1
the service is great and the food is delicious .,1
"pair with some wine , and you 're all set for a great meal .",1
"both times , jesus helped me .",1
i will keep coming back .,1
first i should say i was not the customer .,0
"egg taco : edible , but just some plain eggs around a flat pancake .",0
so the dragon rolls to have impressed me is a big deal .,1
poor food and poor service .,0
completely unprofessional and i would not recommend them to anyone .,0
i love that !,1
top notch .,1
it is no surprise this place has a _num_ star rating .,0
nothing was the way i ordered it !,0
the caesar was drenched in dressing and not tossed .,0
i 've stayed at about _num_ hotels and have never felt unsafe .,0
it 's a great place to meet the girls for lunch too !,1
luckily we got seats at the bar .,1
not cool .,0
fast and clean !,1
i love their garlic naan too .,1
rebecca is an outstanding owner and artist .,1
takes you back to the _num_ 's and _num_ 's with the decor !,1
never going back again and i would advise against master muffler to all others .,0
amazing food .,1
great home-style korean food .,1
people smoke weed in the rooms which stinks up a whole floor .,0
and for the moms they have high chairs !,1
ian m .,1
do n't really know how to call it .,0
"she said , `` no you ca n't do that .",0
the owners are super nice as well .,1
great little sports bar that 's still family friendly .,1
the bartender was attentive to all the guests and actually impressed us .,1
thank you !,1
horrible horrible horrible catfish taste like crunchy cardboard .,0
"fast service , great food for reasonable price .",1
everything was gross !,0
i highly recommend this location !,1
i had two bites and threw it away .,0
love it !,1
not a glass of water even .,0
i wish i didnt have to select any stars .,0
"i 'm really , really easy to please .",1
"needless to say , i did n't paint here .",0
i can enjoy thanksgiving dinner any time of the year thanks to the bobbie !,1
service was friendly and helpful .,1
food was good .,1
the staff is friendly and efficient .,1
staff is always enthusiastic and coffee is abundant .,1
a true pleasure doing business with michelle and her team .,1
the staff is always cheerful and nice .,1
"i 've only used them for grooming , but man is robert wonderful !",1
"we ordered some coconut shrimp , and some ravioli with goat cheese and asparagus .",0
"they are very accommodating , and thorough .",1
"service can be slow at times , but otherwise a nice place .",1
maybe you need a different profession if you suck this badly after _num_ years .,0
some food has no flavor at all and their sushi rice is hard .,0
hopefully no one else has the same experience as us !,0
we probably wo n't be back anytime soon .,0
excellent service and work .,1
"anyway , not my thing .",0
dave and his team are the best !,1
one of the best new york style pizza joints on the west coast .,1
amazing .,1
paul is an excellent chef .,1
food was very good for the price !,1
it 's amazing how much of a difference it makes in the bathroom .,1
"very bad service , rude staff , no customer delight .",0
also they were not that tender .,0
"the whole place smells like old man cigar smoke , fish , and feet .",0
the office staff is awful .,0
fan was very kind .,1
"great food , drinks and people !",1
it was so fresh and warm .,1
sorry to be harsh but now i really appreciate the botanical gardens in california .,0
the bartenders are always fun and good for some interesting conversations .,1
what is more fun than your first visit to this comic book store ?,1
the basement is nice .,1
a $ _num_ omelet is now $ _num_ .,0
great selection of items too .,1
it obviously smells wonderful as you walk in !,1
"i thought , okay , here we go !",1
the food taste really good and the price are well worth it .,1
the lady at the counter was friendly and took our order w/ no problems .,0
very good sushi .,1
"amazing stuffed croissants , cookies , pastries , muffins .",1
we should have just walked out .,0
the pizza was mediocre and service was strange to say the least .,0
reminds me of my childhood .,1
excellent !,1
"it 's a fast-food joint , so you ca n't expect good service .",1
except for the order i put the hot asian sauce on .,0
too many steak houses to choose from .,0
"pam was our extremely attentive , and patient , waitress .",1
thank you for not kicking me out .,1
the vegetables provided was obviously not fresh also .,0
love supporting this small business .,1
thank goodness i did n't read the reviews before i stopped !,1
_num_ .,0
my favorite one in charlotte b/c it is not in a strip mall .,1
enjoy !,1
keep it up guys are you are awesome .,1
amazing !,1
"shocked to read the reviews , my visits are great .",1
pretty standard fare and definitely nothing too exotic .,0
the yellow tail and red snapper sushi was really good .,1
nice .,1
chips and salsa are my favorite here .,0
the tots were perfectly fried .,1
good korean food but spotty service .,1
a tour here is a must !,1
a self serve beverage and a toasted bagel with butter .,0
staff is very helpful .,1
"great selection , highly knowledgable staff .",1
the portion was just right and it made for a great quick meal .,1
so disappointed .,0
maybe i am being too harsh .,0
a great place to pick up some summer essentials without breaking the bank !,1
it was late so we was n't rushing them or anything .,0
"worth a look , but costs a few more dollars than i expected .",1
if i could make mine a negative star i would .,0
Negative,0
his staff is super friendly .,1
if i could give this location zero stars i would .,0
strongly recommend the great white .,1
will not be back .,0
they had everything i needed such a great experience .,1
great atmosphere for a date or to watch the game at the bar .,1
"terrible service , poor communication from the airlines to the passengers .",0
i totally recommend sullivan 's as the perfect date night spot .,1
it is a bit pricey but totally worth it .,1
"`` , in vietnamese with a rude manner .",0
"the chicken is juicy , flavorful and tender .",1
he 's the guy at the front desk .,1
what in gods name does that mean i have no idea ?,0
the only pro was that it was open late .,0
they were not great and i would n't recommend them to others .,0
i had my first facial here with tara and was incredibly impressed .,1
"the food was off the charts and habib , himself entertained us from time .",1
"it 's _num_ guys , get with it already .",0
"love their falafel , as an appetizer , sandwich , or main dish .",1
prices are great too !,1
quality through and through .,1
tastes a lot like real authentic sichuan food .,1
this place is amazing .,1
"when i arrived , the food was not ready and nothing was bagged up .",0
just horrible service everywhere .,0
no other physician approached us to resolve the problem .,0
we will not be back for anything but the occasional pizza and wings .,0
they are always great to see our tour groups .,1
you do n't have to have people in the kitchen who act like that .,0
they did the same service for $ _num_ .,0
maybe it 's because it 's restaurant week .,0
terrible ) .,0
"i did buy some tea still , they carry golden moon !",1
spinatos disappointed me big time .,0
my mistake .,0
consistent excellent sushi .,1
have sampled many things and it 's all very tasty .,1
that nail technician again .,1
there are too many other options with better quality .,0
"save yourself the trouble , go to phoenix children 's .",0
i have never ordered anything here that i did not really enjoy .,1
could n't pay my bill online ( ummm hello ?,0
would def recommend and continue driving _num_ miles to see eve again .,1
disappointing deli .,0
"fantastic service , food , and a very friendly atmosphere .",1
the customers deserve much better especially when you pay over $ _num_ a dish .,0
she said they probably were and kept ringing me up .,0
long live miracle mile deli !,1
worst place ever !,0
cute restaurant in dilworth in an old home with lots of charm .,1
this place is pretty good .,1
"and , the deli meat is boar 's head , the best !",1
"the service is wonderful - the employees are patient , kind and helpful .",1
"meh , i do n't love this airport .",0
he never called me back .,0
thank you !,1
luckily i liked the flower .,1
),1
"i will not come back , nor will i ever recommend it .",0
wine is amazing here .,1
for as busy as it was the place was exceptionally clean and well staffed .,1
such a disappointment .,0
"we wo n't eat here again , even if we have another groupon offered .",0
"our server ken was fun , witty and charming .",1
real donuts is really good !,1
she again left for another _num_ minutes .,0
i will be coming back in the future & recommend his place to anyone !,1
i love the chips and dips and the large dinner portions .,1
"i get there at 11:30 and doors were closed , no one inside !",0
this certainly is not tex-mex .,0
this was no `` flo 's '' or `` changs '' .,0
great sound system and the kj was totally friendly and wonderful .,1
great food and atmosphere .,1
just great service and great food !,1
he brings the drinks drops them and leaves .,0
every waiter and waitress is so kind and friendly .,1
it was so delicious .,1
it now sucks .,0
this is definitely a place to go with the family .,1
the locker rooms are also clean so thats another big plus .,1
love the place they have the best tellers and charlotte and loan agents .,1
my favorite taco place !,1
overall very good .,1
"very friendly staff , clean and inexpensive .",1
i used to really like this place .,0
i have n't been to a lot of robertos .,0
the fact that the manager could not figure this out is beyond me .,0
we waited _num_ more minutes for her to come out .,0
what a waste of time and money .,0
fried icecream was excellent .,1
i will definitely be coming back to this place .,1
"yup , `` _num_ includes delivery '' ?",0
"one of the best restaurants in charlotte , regardless of cuisine type .",1
my filet was overdone and dry as a bone .,0
poor service from the door .,0
my husband and i have loved our time at scottsdale bible church .,1
i 'd definitely stay again .,1
"thanks for being great , guys !",1
i do not care to go there and be treated with such disrespect .,0
the worst thing that will _num_ % keep me from returning was the water .,0
wow !,1
do yourself a favor and make the trip .,1
yummy !,1
prepared completely different from any other indian restaurant we 've ever tried .,0
sushi comes out warm because the servers are so slow .,0
it 's my favorite sauce by far .,1
really delicious food .,1
no ice on either side .,0
friendly staff .,1
bonus !,1
this will be our new to go place .,1
they treat you like family .,1
everyone loved that .,1
it serves up all the usual fatburger offerings .,1
great legal advice .,1
worst company ever .,0
friendly environment .,1
"have a great conversation , enjoy local brews , you wo n't regret it .",1
my hubby had the kitchen sink and he liked it .,1
borderline _num_ .,0
he said no problem i 'll fix them .,0
i enjoy the ambiance quite a bit more than ross j 's .,1
i got one of the worst haircuts i have ever received .,0
- after tip i walked out spending $ _num_ for a below average meal .,0
there was n't a customer in the place but every table was dirty .,0
"a little pricey , but well worth it .",1
"bad , stay away !",0
"though busy at peak times , they always get you through the line quick .",1
"it was n't particularly busy , maybe about ten people all up .",0
has an italian vibe to it .,1
i am new from california and they were so nice and welcoming .,1
must have is their guacamole which is prepared right in front of your eyes .,1
best custard available in central illinois .,1
highly recommend canyon cafe .,1
fantastic !,1
they were friendly and were pleasant to deal with .,1
_num_ star service and atmosphere .,1
i had a great experience .,1
coming to my door with mad attitude is n't gon na get you anywhere .,0
great ambience and food .,1
now that sounded like a huge excuse to not do your job !,0
"the rolls are actually very fresh , and very delicious .",1
the atmosphere was really fun .,1
"we loved our greek salad , the dressing was very zesty .",1
i was surprised with the selection of frames .,1
_num_ .,0
great price .,1
the restaurant interior looked exactly as i had remembered .,0
this place has been my favorite for many years .,1
eat here !,1
this restaurant is so awesome !,1
yeah !,1
we ordered the pear gorgonzola dinner salad and a medium thin crust margarita pizza .,0
"definitely recommend this place , come at least 2-3 times per week .",1
also they recently changed from butter to some butter - like spread .,0
they could be serving up cats and dogs .,0
it 's casual but classy and the wine was divine .,1
they started with checking my tire pressure and rotating the tires .,0
the staff is very friendly and helpful .,1
they do a great job every time .,1
thanks for reading .,1
unfortunately i ordered a grilled chicken salad and my chicken was raw .,0
great thai restaurant on campus .,1
not recommend this place unless you desperately need a piece of cake .,0
absolutely worst car wash !,0
i have been going to phoenix alteration for _num_ years .,0
an extra large pizza was so small it barely fed my wife and i .,0
"my mistake , i mean _num_ year cheddar .",0
the made to order eggs is always a bonus .,1
i do n't recommend it unless it was for either of those .,0
started going here about two months ago and absolutely loved it !,1
nice in the az heat !,1
service is top notch .,1
"the meats that we 've had were unremarkable , including the sides .",0
"again , do not go to this nail salon .",0
the best .,1
we adjusted our orders accordingly when ordering and enjoyed our meal .,0
i will gladly take my money elsewhere .,0
you can sit next to lake and enjoy a delicious diner .,1
tonight was my second visit to sakana .,0
prices are very moderate and cheaper than strawberry fields .,1
so i guess it really depends .,0
my family has been going to his office for years .,1
found myself saying i 'm sorry over and over again .,0
this place rocks !,1
some of the best food in downtown !,1
pretty impressive sushi for being in the middle of the desert .,1
do n't think ill be visiting a kona grill again .,0
very disappointing food quality .,0
beautiful spot for a wedding .,1
very friendly staff and great service .,1
she took her time on my feet and legs and even on my design !,1
"well , that day finally came and it was well worth the wait .",1
"great food , great service , great happy hour .",1
nancy is amazing .,1
i highly recommend acura of tempe for your purchasing needs .,1
i do n't care !,0
the office staff is friendly and always able to accommodate .,1
that part i get ... just bad timing on my part .,0
a totally lovely experience all the way around .,1
"horrible service , had to ask server four times for silverware .",0
the salsa was that perfect blend of taste and spice .,1
wow .,1
love it but postino 's gets mad crowded .,1
always the best !,1
"so good , amongst your average .",1
solid _num_ star joint .,1
possibly some of the best catfish i 've ever tasted .,1
i was very unimpressed with my visit .,0
great homemade chicken dumpling soup and a very tasty club sandwich .,1
"not rude , but not really all there .",0
i love this dealership !,1
if you want really good food and fair price this is it .,1
wow !,1
"c'mon , ben 's owners !",0
i have never been treated so rudely by a waitstaff before in my life .,0
there was basically zero wait staff .,0
what a find !,1
tamara does an absolutely amazing job .,1
best barber shop on this side of town .,1
i would not recommend anyone to live here .,0
positively the best westside restaurant and one of the best french restaurants in town !,1
the service was exceptional .,1
best return policies around .,1
thank you ray 's for all that you do !,1
when the bowl arrived it was big enough to feed at least _num_ people .,0
"about _num_ seats and _num_ tables , a salad bar like roberto 's .",1
they just do n't run a very professional operation .,0
i 'm so happy to have found them .,1
the worse part is that they have good food .,0
there were maybe _num_ people sitting outside on a wednesday night .,0
we love this place !,1
we love it here !,1
i felt the food was a little bland .,1
it was made from pork instead of beef with frozen peas and carrots .,0
"food was excellent , service was great , our server cameron was super attentive .",1
hate chains .,0
not even a text back .,0
attempted to sell a toyota with a $ _num_ blue book value .,0
but last night we decided to go in for dinner and drinks .,0
i checked out the next morning and wo n't be back .,0
"the meat is sweet , and reminds me of snow crab , just bigger !",1
outside seating is great this time of year .,1
pretty good .,1
the other three stylists are still playing around with the register .,0
i just got a fantastic haircut from this barbershop .,1
worst service ever .,0
i 'll go back again !,1
this is really an incompetent company .,0
we 'll definitely be back !,1
this is crap .,0
this is not based on a single experience .,0
i 'd definitely return !,1
food is always top notch !,1
samosas were cold on the inside .,0
overall it was not horrible ; just not great .,0
"excellent service , phenomenal food , and great atmosphere .",1
"they deliver , they install , they refer reliable repair services .",1
the worst experience ever !,0
"they were quick and professional , and their prices are great .",1
horrible food and horrible service .,0
the staff obviously doesnt give a shit about you .,0
definitely makes it worth checking out .,1
in this time two other patients give up and leave .,0
the sandwiches are the best in charlotte .,1
i left without eating the cake or drinking the coffee .,0
highly recommend it .,1
comes out to under $ _num_ for _num_ people for very good food !,1
no change .,0
this is the best chinese restaurant in henderson .,1
i will not be back .,0
the gift shop also has a great selection of jewelry and art for purchase .,1
best pizza is pittsburgh .,1
joe tint has now tinted both of my cars and now my neighbors .,1
staff there are so nice as well .,1
seriously the best hospital in the world !,1
i have never been so unhappy with a vet in all my life .,0
i would give negative stars if i could .,0
- the office is very clean and they have a lot of newer technology .,1
i ordered _num_ biscuits but was given cornbread instead .,0
they cook to order and you can watch them make your food .,1
so good that my friend and i went twice on our _num_ day trip .,1
hopefully they 'll expand their ramen selections in the future .,1
rated the friendliest airport !,1
i ordered the goat cheese appetizer and it is amazing !,1
"their food is great , especially their chilli and buffalo chicken sandwich .",1
it looked like people 's leftovers they threw on my sandwich .,0
brought it home when my mom was visiting and she loved it .,1
solid meal .,1
"my wife , who goes to spas much more often , was not impressed .",0
the gentleman doing my moms nails ruined them .,0
port authority sucks !,0
very easy to get to from anywhere in the valley !,1
there were chicken bones in my soup .,0
by far the best in town all they do is vw .,1
i grew up on southern food and this place was not tasty at all .,0
do not buy from walker furniture .,0
_num_ .,0
the food here is always good .,1
full of energy and made it a wonderful experience .,1
avoid .,0
very friendly service followed by good food !,1
loved this place _num_ years ago and still love it today .,1
the young girls at the register were also very nice and helpful .,1
the food is absolutely delicious everything i 've gotten here has so much flavor !,1
"what can i say that other have n't , wonderful everything .",1
insight is very affordable !,1
what a pleasant surprise !,1
very friendly service as well !,1
they always go the extra mile .,1
"i would never go here again , they are rude and treated me terribly .",0
we love the neighborhood .,1
over the top with wine and interesting food .,1
my experience was excellent .,1
it was n't like the store was busy .,0
i will definitely be returning to this italian joint !,1
i will bring him business because it was that good .,1
i love it that the restaurant smells like delicious smoked meats .,1
both dishes were tasty but there was hardly anything on the plate .,0
it 's a small market but we enjoy it .,1
staff is very friendly and professional .,1
very good food .,1
thanks for everything .,1
thank you again !,1
"with every bite , i think about getting a heart attack at _num_ .",0
that 's worth the extra $ _num_ you 'll spend here !,1
we drove _num_ hr .,0
order the brandy old fashion sweet and the fish fry .,1
i 've also given birth here and everything was always great .,1
stayed here about a month ago .,1
"food was just ok , not worth the cost .",0
we continue to make the trip here because of our confidence in john .,1
they now have a big beautiful outdoor seating area .,1
i was disgusted and asked for a refund which took forever .,0
breakfast has always been good with large portions .,1
horrible service and rude management .,0
i 've never been so insulted .,0
i have been here _num_ times and have had a great experience every time .,1
i have always enjoyed roma deli and roma deli _num_ .,1
this pizza hut is terrible .,0
amazing .,1
i was confused asked to speak tho the manager by another waitress .,0
overall horrible outcome except for the great server .,0
clean place .,1
probably one of the worst places i have been to recently .,0
great place for watch repair .,1
that clearly shows that they do not care about customer service .,0
the place has much more to offer than it did years ago .,1
i have eaten diner here twice and both times where very good .,1
it remained me of orange chicken from panda express with some spice .,0
zero stars !,0
Negative,0
"this is the last time i go , consistently bad .",0
"they are priced great , too .",1
smart daughter .,1
will return again on our next visit to az .,1
"guys are amazing , fast , definitely most competitive pricing in town .",1
this place is love .,1
they staff is awesome !,1
i love ono !,1
i love it here .,1
they said nothing needed to be done .,0
ok _num_ stars !,1
it seemed to lack any taste at all .,0
the current staff is friendly and a quick .,1
also they do good form clinics that i have yet to try .,1
these guys are real pros !,1
definitely give them a shot .,1
the service has always been friendly and quick .,1
service here is awful .,0
the cost of having customers return ... priceless .,0
"top notch service , reasonably priced .",1
"which was odd , most italian places make such a big deal about wine .",0
a really good place to find a large selection of pet items !,1
the service is normal .,1
i was greeted right away .,1
however this location was incredibly rude to me .,0
i 've been here three times and it 's been inconsistent .,0
you can bring wine in .,1
atmosphere was nice and service was excellent .,1
it 's a nice place for a quick grab for lunch .,1
and i love their pie .,1
is n't vegas the place to get married ?,0
"great dogs and a huge selection of beer , imported and otherwise .",1
excellent little lunch spot .,1
"overall , just a fun experience with great food .",1
great for singles or small families .,1
"a fun evening , i 'll be back here again .",1
i would definitely recommend this restaurant to anyone wanting real greek food .,1
